,PC1,PC2,PC3
0,-1.0285615932205932,-1.3574380484210338,0.30649827715587824
1,-0.6511666596548223,-0.2594335373719759,-0.13101801224246154
2,-0.08348335860107221,-0.9109894541415029,0.37433484875485
3,-0.7821740798440797,-0.11094095163445904,-0.09325588149788559
4,-1.1661823933826228,-1.2454214923922515,0.07135017850774243
5,1.6717698847837807,0.420494994156373,-0.6266945226791147
6,2.7663554406451385,-1.642671599679943,-1.104410157502994
7,0.7521649038381913,-1.1989252292858854,-0.8819826546528463
8,-0.8038824452568233,0.8066253927211294,1.527555361644464
9,-1.6224715582173688,-0.1642779226275847,-0.4577895785068988
10,0.3844583079657007,-1.2623736563812322,-0.1843529011797393
11,-0.8462151276778647,-0.8033948864175093,1.3085218584684901
12,0.9936074644407764,0.2649275066668712,-0.6724073733049055
13,-1.548835345922842,-1.2765988261444994,-0.15506694714087071
14,-0.7645695121147552,1.5295027346554662,-0.7681642610105125
15,1.6219781028968163,-0.04321363782184916,-0.847278549856274
16,0.9493173261489846,0.3917926010682809,-0.8117973042761775
17,0.9009060739841092,-1.1174704597330802,-0.1978268791411231
18,0.4328089195773729,-0.9880849968295657,-0.2917978443598892
19,1.9869112867595895,-0.1608705519642592,0.45865875378077975
20,1.604510982960955,-1.0590369511269424,0.20727606592010653
21,0.37632065260322145,-0.5869762469990808,1.78579924062928
22,-0.5237510307527978,1.4258164061423215,-0.4645117085672396
23,0.29186400813088864,0.9519047401050407,-0.8371492714871788
24,2.0996858434947927,-0.5452829735929758,-0.3170865046411934
25,-0.09209075414884367,-0.7103201048242729,0.8628349659867529
26,1.2061455377453028,-0.5937165673600477,-0.6463144542241429
27,-1.0527190254086114,0.9813923522059951,-0.5283014661209696
28,-0.9738671438501105,-1.486624313830422,-0.7501053394557348
29,-0.1815293984761156,-0.13652780619873814,1.9970802051848962
30,-0.18140450063863683,0.5057764294468997,-0.9488417688004955
31,-1.8696860061869174,-1.294695970827864,-0.2857840918838563
32,3.6687335866801654,0.051508989707914773,-0.26839613560469316
33,-0.7933117196658639,-0.7688656918340452,0.41225377125033247
34,-0.6093205782137587,-0.13863379682283608,-0.33554902648120405
35,-1.4571339538253085,-0.4744498538091311,-0.6537285838217738
36,-1.578160333227979,2.7108522544879614,-0.4467246561459162
37,-1.1175401620823344,0.38094448222495403,-0.7177382131163892
